Date,Open,High,Low,Close
05/19/2021,"108.89","109.33","108.57","109.22"
05/18/2021,"109.23","109.28","108.84","108.89"
05/17/2021,"109.29","109.50","109.07","109.23"
05/14/2021,"109.53","109.65","109.21","109.35"
05/13/2021,"109.68","109.78","109.41","109.47"
05/12/2021,"108.62","109.71","108.59","109.70"
05/11/2021,"108.83","108.99","108.36","108.62"
05/10/2021,"108.64","109.06","108.47","108.84"
05/07/2021,"109.09","109.29","108.35","108.59"
05/06/2021,"109.20","109.43","109.00","109.09"
05/05/2021,"109.34","109.48","109.15","109.20"
05/04/2021,"109.08","109.49","109.03","109.30"
05/03/2021,"109.26","109.70","108.90","109.07"
04/30/2021,"108.92","109.36","108.71","109.33"
04/29/2021,"108.60","109.22","108.44","108.92"
04/28/2021,"108.69","109.08","108.57","108.60"
04/27/2021,"108.09","108.78","108.08","108.73"
04/26/2021,"107.94","108.20","107.65","108.09"
04/23/2021,"107.97","108.14","107.48","107.88"
04/22/2021,"108.08","108.24","107.83","107.97"
04/21/2021,"108.10","108.29","107.88","108.06"
04/20/2021,"108.14","108.55","107.98","108.08"
04/19/2021,"108.79","108.83","108.01","108.14"
04/16/2021,"108.77","108.96","108.62","108.81"
04/15/2021,"108.94","109.00","108.62","108.76"
04/14/2021,"109.06","109.09","108.75","108.95"
04/13/2021,"109.38","109.76","109.02","109.06"
04/12/2021,"109.67","109.78","109.25","109.38"
04/09/2021,"109.26","109.96","109.21","109.67"
04/08/2021,"109.85","109.91","109.00","109.27"
04/07/2021,"109.75","109.94","109.59","109.84"
04/06/2021,"110.19","110.57","109.68","109.74"
04/05/2021,"110.73","110.74","109.97","110.18"
04/02/2021,"110.61","110.75","110.38","110.71"
04/01/2021,"110.72","110.85","110.55","110.60"
03/31/2021,"110.36","110.97","110.28","110.72"
03/30/2021,"109.81","110.42","109.75","110.35"
03/29/2021,"109.62","109.85","109.38","109.82"
03/26/2021,"109.19","109.85","109.14","109.67"
03/25/2021,"108.73","109.24","108.73","109.19"
03/24/2021,"108.58","108.94","108.45","108.73"
03/23/2021,"108.84","108.88","108.41","108.58"
03/22/2021,"108.93","108.96","108.60","108.85"
03/19/2021,"108.94","109.11","108.61","108.88"
03/18/2021,"108.85","109.31","108.64","108.89"
03/17/2021,"109.00","109.32","108.75","108.84"
03/16/2021,"109.14","109.28","108.79","109.00"
03/15/2021,"108.99","109.36","108.92","109.12"
03/12/2021,"108.51","109.17","108.50","109.03"
03/11/2021,"108.38","108.81","108.36","108.51"
03/10/2021,"108.48","108.93","108.34","108.39"
03/09/2021,"108.89","109.23","108.42","108.49"
03/08/2021,"108.41","108.94","108.30","108.89"
03/05/2021,"107.96","108.63","107.82","108.38"
03/04/2021,"107.00","107.99","106.97","107.98"
03/03/2021,"106.69","107.16","106.67","107.02"
03/02/2021,"106.80","106.96","106.66","106.69"
03/01/2021,"106.60","106.89","106.37","106.76"
02/26/2021,"106.22","106.69","105.86","106.56"
02/25/2021,"105.86","106.40","105.85","106.25"
02/24/2021,"105.25","106.10","105.20","105.85"
02/23/2021,"105.08","105.42","104.93","105.25"
02/22/2021,"105.45","105.85","104.98","105.08"
02/19/2021,"105.71","105.74","105.25","105.43"
02/18/2021,"105.87","105.93","105.60","105.68"
02/17/2021,"106.04","106.22","105.78","105.88"
02/16/2021,"105.38","106.06","105.20","106.05"
02/15/2021,"104.96","105.42","104.92","105.38"
02/12/2021,"104.75","105.18","104.74","104.92"
02/11/2021,"104.59","104.81","104.55","104.75"
02/10/2021,"104.59","104.85","104.41","104.60"
02/09/2021,"105.22","105.26","104.51","104.56"
02/08/2021,"105.36","105.67","105.16","105.23"
02/05/2021,"105.54","105.77","105.34","105.38"
02/04/2021,"105.03","105.57","104.98","105.55"
02/03/2021,"104.98","105.11","104.93","105.03"
02/02/2021,"104.93","105.17","104.83","104.98"
02/01/2021,"104.70","105.04","104.62","104.94"
01/29/2021,"104.24","104.94","104.22","104.69"
01/28/2021,"104.10","104.47","104.07","104.26"
01/27/2021,"103.62","104.20","103.59","104.09"
01/26/2021,"103.76","103.83","103.56","103.62"
01/25/2021,"103.79","103.93","103.68","103.77"
01/22/2021,"103.51","103.89","103.49","103.76"
01/21/2021,"103.54","103.66","103.33","103.49"
01/20/2021,"103.90","103.94","103.45","103.53"
01/19/2021,"103.69","104.08","103.66","103.90"
01/18/2021,"103.90","103.93","103.64","103.69"
01/15/2021,"103.80","103.92","103.62","103.87"
01/14/2021,"103.88","104.20","103.57","103.80"
01/13/2021,"103.76","103.99","103.54","103.87"
01/12/2021,"104.26","104.33","103.73","103.75"
01/11/2021,"103.95","104.40","103.83","104.25"
01/08/2021,"103.81","104.09","103.61","103.96"
01/07/2021,"103.05","103.96","102.96","103.82"
01/06/2021,"102.72","103.44","102.59","103.06"
01/05/2021,"103.10","103.19","102.60","102.72"
01/04/2021,"103.24","103.32","102.71","103.13"
01/01/2021,"103.28","103.33","103.22","103.24"
12/31/2020,"103.20","103.32","103.00","103.31"
12/30/2020,"103.57","103.61","102.97","103.21"
12/29/2020,"103.82","103.83","103.47","103.53"
12/28/2020,"103.50","103.90","103.41","103.79"
12/25/2020,"103.65","103.70","103.42","103.50"
12/24/2020,"103.57","103.77","103.51","103.66"
12/23/2020,"103.65","103.68","103.37","103.55"
12/22/2020,"103.31","103.74","103.28","103.64"
12/21/2020,"103.48","103.89","103.26","103.29"
12/18/2020,"103.12","103.60","103.10","103.32"
12/17/2020,"103.46","103.56","102.88","103.10"
12/16/2020,"103.67","103.92","103.26","103.46"
12/15/2020,"104.05","104.16","103.61","103.66"
12/14/2020,"104.02","104.10","103.52","104.05"
12/11/2020,"104.23","104.28","103.83","104.02"
12/10/2020,"104.23","104.58","104.18","104.22"
12/09/2020,"104.17","104.40","104.06","104.23"
12/08/2020,"104.05","104.21","103.96","104.17"
12/07/2020,"104.16","104.31","103.93","104.05"
12/04/2020,"103.84","104.25","103.74","104.19"
12/03/2020,"104.42","104.53","103.68","103.84"
12/02/2020,"104.33","104.76","104.23","104.41"
12/01/2020,"104.32","104.58","104.19","104.33"
11/30/2020,"104.07","104.41","103.84","104.32"
11/27/2020,"104.26","104.29","103.91","104.09"
11/26/2020,"104.47","104.48","104.22","104.26"
11/25/2020,"104.44","104.59","104.27","104.46"
11/24/2020,"104.56","104.75","104.15","104.44"
11/23/2020,"103.86","104.63","103.69","104.55"
11/20/2020,"103.75","103.91","103.71","103.85"
